Date : 2025-06-23 02:27:42
Directory : /media/username/harddrive/Projects/vee
Total : 151 files,  5252 codes, 448 comments, 892 blanks, all 6592 lines

Languages
+-----------------+------------+------------+------------+------------+------------+
| language        | files      | code       | comment    | blank      | total      |
| /media/username/harddrive/Projects/vee/assets/lang/ar.json                                                                                   | JSON            |          6 |          0 |          0 |          6 |
| /media/username/harddrive/Projects/vee/assets/lang/en.json                                                                                   | JSON            |          6 |          0 |          0 |          6 |
| /media/username/harddrive/Projects/vee/assets/svgs/auth/app_bar_svg.svg                                                                      | XML             |          3 |          0 |          1 |          4 |
| /media/username/harddrive/Projects/vee/assets/svgs/on_borading_icon.svg                                                                      | XML             |          3 |          0 |          1 |          4 |
| /media/username/harddrive/Projects/vee/assets/svgs/page_not_found_icon.svg                                                                   | XML             |          1 |          0 |          0 |          1 |
| /media/username/harddrive/Projects/vee/devtools_options.yaml                                                                                 | YAML            |          3 |          0 |          1 |          4 |
| /media/username/harddrive/Projects/vee/flutter_native_splash.yaml                                                                            | YAML            |          5 |         43 |          7 |         55 |
| /media/username/harddrive/Projects/vee/ios/Flutter/AppFrameworkInfo.plist                                                                    | XML             |         26 |          0 |          1 |         27 |
| /media/username/harddrive/Projects/vee/ios/Runner.xcodeproj/project.xcworkspace/xcshareddata/IDEWorkspaceChecks.plist                        | XML             |          8 |          0 |          1 |          9 |
| /media/username/harddrive/Projects/vee/ios/Runner.xcworkspace/xcshareddata/IDEWorkspaceChecks.plist                                          | XML             |          8 |          0 |          1 |          9 |
| /media/username/harddrive/Projects/vee/ios/Runner/AppDelegate.swift                                                                          | Swift           |         12 |          0 |          2 |         14 |
| /media/username/harddrive/Projects/vee/ios/Runner/Assets.xcassets/AppIcon.appiconset/Contents.json                                           | JSON            |        122 |          0 |          1 |        123 |
| /media/username/harddrive/Projects/vee/ios/Runner/Assets.xcassets/LaunchImage.imageset/Contents.json                                         | JSON            |         23 |          0 |          1 |         24 |
| /media/username/harddrive/Projects/vee/ios/Runner/Assets.xcassets/LaunchImage.imageset/README.md                                             | Markdown        |          3 |          0 |          2 |          5 |
| /media/username/harddrive/Projects/vee/ios/Runner/Base.lproj/LaunchScreen.storyboard                                                         | XML             |         36 |          1 |          1 |         38 |
| /media/username/harddrive/Projects/vee/ios/Runner/Base.lproj/Main.storyboard                                                                 | XML             |         25 |          1 |          1 |         27 |
| /media/username/harddrive/Projects/vee/ios/Runner/Info.plist                                                                                 | XML             |         49 |          0 |          1 |         50 |
| /media/username/harddrive/Projects/vee/ios/Runner/Runner-Bridging-Header.h                                                                   | C++             |          1 |          0 |          1 |          2 |
| /media/username/harddrive/Projects/vee/ios/RunnerTests/RunnerTests.swift                                                                     | Swift           |          7 |          2 |          4 |         13 |
| /media/username/harddrive/Projects/vee/lib/app.dart                                                                                          | Dart            |         26 |          0 |          3 |         29 |
| /media/username/harddrive/Projects/vee/lib/app_bloc_observer.dart                                                                            | Dart            |         24 |          0 |          6 |         30 |
| /media/username/harddrive/Projects/vee/lib/core/constants/app_assets.dart                                                                    | Dart            |          8 |         11 |          7 |         26 |
| /media/username/harddrive/Projects/vee/lib/core/constants/app_constants.dart                                                                 | Dart            |         10 |          0 |          2 |         12 |
| /media/username/harddrive/Projects/vee/lib/core/constants/strings_constants.dart                                                             | Dart            |        129 |         25 |         21 |        175 |
| /media/username/harddrive/Projects/vee/lib/core/di/dependency_injection.dart                                                                 | Dart            |         13 |          3 |          7 |         23 |
| /media/username/harddrive/Projects/vee/lib/core/errors/exceptions.dart                                                                       | Dart            |         11 |          1 |          9 |         21 |
| /media/username/harddrive/Projects/vee/lib/core/errors/failures.dart                                                                         | Dart            |          7 |          0 |          5 |         12 |
| /media/username/harddrive/Projects/vee/lib/core/extensions/navigation_extensions.dart                                                        | Dart            |         40 |         13 |         27 |         80 |
| /media/username/harddrive/Projects/vee/lib/core/extensions/sizedbox_extensions.dart                                                          | Dart            |          9 |          0 |          2 |         11 |
| /media/username/harddrive/Projects/vee/lib/core/extensions/theme_extensions.dart                                                             | Dart            |         59 |          2 |         45 |        106 |
| /media/username/harddrive/Projects/vee/lib/core/network/api_service.dart                                                                     | Dart            |         20 |          0 |          5 |         25 |
| /media/username/harddrive/Projects/vee/lib/core/network/api_service.g.dart                                                                   | Dart            |        105 |          6 |         16 |        127 |
| /media/username/harddrive/Projects/vee/lib/core/network/dio_factory.dart                                                                     | Dart            |         43 |          0 |          6 |         49 |
| /media/username/harddrive/Projects/vee/lib/core/network/endpoint_constants.dart                                                              | Dart            |          5 |          0 |          1 |          6 |
| /media/username/harddrive/Projects/vee/lib/core/network/error_handeler.dart                                                                  | Dart            |        154 |          6 |         15 |        175 |
| /media/username/harddrive/Projects/vee/lib/core/network/network_info.dart                                                                    | Dart            |          6 |          0 |          4 |         10 |
| /media/username/harddrive/Projects/vee/lib/core/routing/app_router.dart                                                                      | Dart            |         64 |          0 |          6 |         70 |
| /media/username/harddrive/Projects/vee/lib/core/routing/routes.dart                                                                          | Dart            |         11 |          0 |          1 |         12 |
| /media/username/harddrive/Projects/vee/lib/core/screens/not_found_route_screen.dart                                                          | Dart            |         36 |          1 |          4 |         41 |
| /media/username/harddrive/Projects/vee/lib/core/services/locale_service.dart                                                                 | Dart            |         19 |          2 |         17 |         38 |
| /media/username/harddrive/Projects/vee/lib/core/services/logger_service.dart                                                                 | Dart            |         27 |          0 |          4 |         31 |
| /media/username/harddrive/Projects/vee/lib/core/services/maps_services.dart                                                                  | Dart            |          1 |          0 |          0 |          1 |
| /media/username/harddrive/Projects/vee/lib/core/theme/app_colors.dart                                                                        | Dart            |         16 |          0 |          2 |         18 |
| /media/username/harddrive/Projects/vee/lib/core/theme/app_shadows.dart                                                                       | Dart            |         18 |          0 |          2 |         20 |
| /media/username/harddrive/Projects/vee/lib/core/theme/app_text_styles.dart                                                                   | Dart            |        151 |          7 |         17 |        175 |
| /media/username/harddrive/Projects/vee/lib/core/theme/app_theme.dart                                                                         | Dart            |         84 |          1 |          7 |         92 |
| /media/username/harddrive/Projects/vee/lib/core/usecases/base_use_case.dart                                                                  | Dart            |          5 |          1 |          1 |          7 |
| /media/username/harddrive/Projects/vee/lib/core/utils/app_border_radius.dart                                                                 | Dart            |         20 |          0 |          3 |         23 |
| /media/username/harddrive/Projects/vee/lib/core/utils/app_duration.dart                                                                      | Dart            |          5 |          1 |          1 |          7 |
| /media/username/harddrive/Projects/vee/lib/core/utils/app_functions.dart                                                                     | Dart            |         24 |          0 |          5 |         29 |
| /media/username/harddrive/Projects/vee/lib/core/utils/app_margin.dart                                                                        | Dart            |         14 |          1 |          2 |         17 |
| /media/username/harddrive/Projects/vee/lib/core/utils/app_padding.dart                                                                       | Dart            |         16 |          1 |          2 |         19 |
| /media/username/harddrive/Projects/vee/lib/core/utils/app_shared_pref_consts.dart                                                            | Dart            |          7 |          0 |          0 |          7 |
| /media/username/harddrive/Projects/vee/lib/core/utils/app_shared_preferences.dart                                                            | Dart            |         84 |          8 |         19 |        111 |
| /media/username/harddrive/Projects/vee/lib/core/utils/app_size.dart                                                                          | Dart            |         27 |          2 |          4 |         33 |
| /media/username/harddrive/Projects/vee/lib/core/utils/app_utils.dart                                                                         | Dart            |         23 |          1 |          7 |         31 |
| /media/username/harddrive/Projects/vee/lib/core/widgets/app_circular_indicator.dart                                                          | Dart            |         14 |          0 |          6 |         20 |
| /media/username/harddrive/Projects/vee/lib/core/widgets/app_container.dart                                                                   | Dart            |         26 |          0 |          4 |         30 |
| /media/username/harddrive/Projects/vee/lib/core/widgets/svg_bottom_clipper.dart                                                              | Dart            |         18 |          7 |          8 |         33 |
| /media/username/harddrive/Projects/vee/lib/core/widgets/trip_card_info.dart                                                                  | Dart            |         29 |          0 |          3 |         32 |
| /media/username/harddrive/Projects/vee/lib/features/driver/home/presentation/cubit/home_cubit.dart                                           | Dart            |          6 |          0 |          3 |          9 |
| /media/username/harddrive/Projects/vee/lib/features/driver/home/presentation/cubit/home_state.dart                                           | Dart            |          7 |          0 |          4 |         11 |
| /media/username/harddrive/Projects/vee/lib/features/driver/home/presentation/screens/driver_home_screen.dart                                 | Dart            |         60 |         73 |         10 |        143 |
| /media/username/harddrive/Projects/vee/lib/features/driver/home/presentation/widgets/custom_app_bar.dart                                     | Dart            |         53 |          3 |          6 |         62 |
| /media/username/harddrive/Projects/vee/lib/features/driver/home/presentation/widgets/home_list_view.dart                                     | Dart            |         18 |          0 |          3 |         21 |
| /media/username/harddrive/Projects/vee/lib/features/driver/home/presentation/widgets/home_trip_card.dart                                     | Dart            |         33 |          0 |          3 |         36 |
| /media/username/harddrive/Projects/vee/lib/features/driver/home/presentation/widgets/notification_button.dart                                | Dart            |         39 |          0 |          5 |         44 |
| /media/username/harddrive/Projects/vee/lib/features/driver/home/presentation/widgets/profile_avatar.dart                                     | Dart            |         53 |          0 |          5 |         58 |
| /media/username/harddrive/Projects/vee/lib/features/driver/home/presentation/widgets/start_button.dart                                       | Dart            |         20 |          0 |          4 |         24 |
| /media/username/harddrive/Projects/vee/lib/features/driver/home/presentation/widgets/up_coming_trips.dart                                    | Dart            |         21 |          0 |          5 |         26 |
| /media/username/harddrive/Projects/vee/lib/features/driver/notifications/presentation/cubit/notifications_cubit.dart                         | Dart            |          6 |          0 |          3 |          9 |
| /media/username/harddrive/Projects/vee/lib/features/driver/notifications/presentation/cubit/notifications_state.dart                         | Dart            |          7 |          0 |          4 |         11 |
| /media/username/harddrive/Projects/vee/lib/features/driver/notifications/presentation/screens/notification_screen.dart                       | Dart            |         42 |          0 |          4 |         46 |
| /media/username/harddrive/Projects/vee/lib/features/driver/notifications/presentation/widgets/app_notification.dart                          | Dart            |         37 |          0 |          4 |         41 |
| /media/username/harddrive/Projects/vee/lib/features/driver/notifications/presentation/widgets/notification_box.dart                          | Dart            |         41 |          0 |          3 |         44 |
| /media/username/harddrive/Projects/vee/lib/features/driver/notifications/presentation/widgets/notification_icon.dart                         | Dart            |         25 |          0 |          5 |         30 |
| /media/username/harddrive/Projects/vee/lib/features/shared/auth/data/datasources/auth_remot_data_source.dart                                 | Dart            |         14 |          0 |          4 |         18 |
| /media/username/harddrive/Projects/vee/lib/features/shared/auth/data/mapper/auth_mapper.dart                                                 | Dart            |         31 |          0 |          3 |         34 |
| /media/username/harddrive/Projects/vee/lib/features/shared/auth/data/models/business_user_dto.dart                                           | Dart            |         18 |          0 |          6 |         24 |
| /media/username/harddrive/Projects/vee/lib/features/shared/auth/data/models/business_user_dto.g.dart                                         | Dart            |         15 |          4 |          5 |         24 |
| /media/username/harddrive/Projects/vee/lib/features/shared/auth/data/models/forgot_rassword_response.dart                                    | Dart            |          0 |          0 |          1 |          1 |
| /media/username/harddrive/Projects/vee/lib/features/shared/auth/data/models/forogt_password_request_body.dart                                | Dart            |          8 |          0 |          4 |         12 |
| /media/username/harddrive/Projects/vee/lib/features/shared/auth/data/models/forogt_password_request_body.g.dart                              | Dart            |          6 |          4 |          6 |         16 |
| /media/username/harddrive/Projects/vee/lib/features/shared/auth/data/models/login_request_body.dart                                          | Dart            |          9 |          0 |          4 |         13 |
| /media/username/harddrive/Projects/vee/lib/features/shared/auth/data/models/login_request_body.g.dart                                        | Dart            |          6 |          4 |          6 |         16 |
| /media/username/harddrive/Projects/vee/lib/features/shared/auth/data/models/login_response.dart                                              | Dart            |         23 |          0 |          6 |         29 |
| /media/username/harddrive/Projects/vee/lib/features/shared/auth/data/models/login_response.g.dart                                            | Dart            |         22 |          4 |          5 |         31 |
| /media/username/harddrive/Projects/vee/lib/features/shared/auth/data/models/reset_password_response.dart                                     | Dart            |         14 |          0 |          3 |         17 |
| /media/username/harddrive/Projects/vee/lib/features/shared/auth/data/repositories/auth_repository_impl.dart                                  | Dart            |         70 |          1 |          6 |         77 |
| /media/username/harddrive/Projects/vee/lib/features/shared/auth/di/auth_di.dart                                                              | Dart            |         34 |          8 |          7 |         49 |
| /media/username/harddrive/Projects/vee/lib/features/shared/auth/domain/entities/forgot_password_entity.dart                                  | Dart            |          8 |          0 |          2 |         10 |
| /media/username/harddrive/Projects/vee/lib/features/shared/auth/domain/entities/login_entity.dart                                            | Dart            |         32 |          0 |          3 |         35 |
| /media/username/harddrive/Projects/vee/lib/features/shared/auth/domain/entities/reset_password_entity.dart                                   | Dart            |         10 |          0 |          2 |         12 |
| /media/username/harddrive/Projects/vee/lib/features/shared/auth/domain/repositories/auth_repo.dart                                           | Dart            |         13 |          0 |          6 |         19 |
| /media/username/harddrive/Projects/vee/lib/features/shared/auth/domain/usecases/forgot_password_use_case.dart                                | Dart            |         16 |          0 |          4 |         20 |
| /media/username/harddrive/Projects/vee/lib/features/shared/auth/domain/usecases/login_use_case.dart                                          | Dart            |         14 |          0 |          5 |         19 |
| /media/username/harddrive/Projects/vee/lib/features/shared/auth/presentation/cubits/forgot_passwprd_cubit/forgot_password_cubit.dart         | Dart            |         26 |          0 |          6 |         32 |
| /media/username/harddrive/Projects/vee/lib/features/shared/auth/presentation/cubits/forgot_passwprd_cubit/forgot_password_state.dart         | Dart            |          9 |          0 |          5 |         14 |
| /media/username/harddrive/Projects/vee/lib/features/shared/auth/presentation/cubits/forgot_passwprd_cubit/forgot_password_state.freezed.dart | Dart            |        511 |         42 |         78 |        631 |
| /media/username/harddrive/Projects/vee/lib/features/shared/auth/presentation/cubits/login_cubit/login_cubit.dart                             | Dart            |         43 |          0 |          7 |         50 |
| /media/username/harddrive/Projects/vee/lib/features/shared/auth/presentation/cubits/login_cubit/login_state.dart                             | Dart            |          9 |          0 |          6 |         15 |
| /media/username/harddrive/Projects/vee/lib/features/shared/auth/presentation/cubits/login_cubit/login_state.freezed.dart                     | Dart            |        511 |         42 |         78 |        631 |
| /media/username/harddrive/Projects/vee/lib/features/shared/auth/presentation/screens/forgot_password_screen.dart                             | Dart            |         46 |          0 |          9 |         55 |
| /media/username/harddrive/Projects/vee/lib/features/shared/auth/presentation/screens/login_screen.dart                                       | Dart            |         55 |          0 |          9 |         64 |
| /media/username/harddrive/Projects/vee/lib/features/shared/auth/presentation/screens/reset_password_screen.dart                              | Dart            |         40 |          0 |          4 |         44 |
| /media/username/harddrive/Projects/vee/lib/features/shared/auth/presentation/screens/verify_code_screen.dart                                 | Dart            |         30 |          0 |          4 |         34 |
| /media/username/harddrive/Projects/vee/lib/features/shared/auth/presentation/widgets/auth_app_bar.dart                                       | Dart            |         50 |          1 |          7 |         58 |
| /media/username/harddrive/Projects/vee/lib/features/shared/auth/presentation/widgets/auth_button.dart                                        | Dart            |         24 |          0 |          3 |         27 |
| /media/username/harddrive/Projects/vee/lib/features/shared/auth/presentation/widgets/auth_container.dart                                     | Dart            |         31 |          0 |          3 |         34 |
| /media/username/harddrive/Projects/vee/lib/features/shared/auth/presentation/widgets/auth_desc.dart                                          | Dart            |         18 |          0 |          3 |         21 |
| /media/username/harddrive/Projects/vee/lib/features/shared/auth/presentation/widgets/auth_form_field.dart                                    | Dart            |        131 |          1 |         10 |        142 |
| /media/username/harddrive/Projects/vee/lib/features/shared/auth/presentation/widgets/auth_format_screens.dart                                | Dart            |         27 |          0 |          3 |         30 |
| /media/username/harddrive/Projects/vee/lib/features/shared/auth/presentation/widgets/forgot_password.dart                                    | Dart            |         23 |          0 |          3 |         26 |
| /media/username/harddrive/Projects/vee/lib/features/shared/auth/presentation/widgets/forgot_password_bloc_listener.dart                      | Dart            |         66 |          0 |          4 |         70 |
| /media/username/harddrive/Projects/vee/lib/features/shared/auth/presentation/widgets/forgot_password_email.dart                              | Dart            |         25 |          0 |          6 |         31 |
| /media/username/harddrive/Projects/vee/lib/features/shared/auth/presentation/widgets/login_bloc_listener.dart                                | Dart            |         70 |          0 |          4 |         74 |
| /media/username/harddrive/Projects/vee/lib/features/shared/auth/presentation/widgets/login_email_and_password.dart                           | Dart            |         37 |          0 |          7 |         44 |
| /media/username/harddrive/Projects/vee/lib/features/shared/auth/presentation/widgets/otp_field.dart                                          | Dart            |         61 |          1 |          8 |         70 |
| /media/username/harddrive/Projects/vee/lib/features/shared/auth/presentation/widgets/screen_title.dart                                       | Dart            |         16 |          0 |          2 |         18 |
| /media/username/harddrive/Projects/vee/lib/features/shared/auth/presentation/widgets/send_code_again.dart                                    | Dart            |         58 |          1 |         11 |         70 |
| /media/username/harddrive/Projects/vee/lib/features/shared/auth/presentation/widgets/we_send_code.dart                                       | Dart            |         25 |          0 |          3 |         28 |
| /media/username/harddrive/Projects/vee/lib/features/shared/onboarding/presentation/screens/onboarding_screen.dart                            | Dart            |         42 |          1 |          4 |         47 |
| /media/username/harddrive/Projects/vee/lib/features/shared/onboarding/presentation/widgets/get_started.dart                                  | Dart            |         26 |          0 |          3 |         29 |
| /media/username/harddrive/Projects/vee/lib/features/shared/onboarding/presentation/widgets/on_boarding_desc.dart                             | Dart            |         17 |          0 |          3 |         20 |
| /media/username/harddrive/Projects/vee/lib/features/shared/onboarding/presentation/widgets/on_boarding_icon.dart                             | Dart            |         18 |          0 |          4 |         22 |
| /media/username/harddrive/Projects/vee/lib/features/shared/onboarding/presentation/widgets/on_boarding_welcome.dart                          | Dart            |         25 |          0 |          4 |         29 |
| /media/username/harddrive/Projects/vee/lib/features/shared/profile/presentation/cubit/profile_cubit.dart                                     | Dart            |          7 |          0 |          5 |         12 |
